NAME,POP,DENSITY,SURFACE_AREA,DATE_CODE,DATE_DESC,state,county,PERIOD_CODE,PERIOD_DESC,BIRTHS,DEATHS,NATURALINC,INTERNATIONALMIG,DOMESTICMIG,NETMIG,RESIDUAL,RBIRTH,RDEATH,RNATURALCHG,RINTERNATIONALMIG,RDOMESTICMIG,RNETMIG
"Autauga County, Alabama",43751,73.60036337,594.44,0,4/1/2000 to 6/30/2000,1,1,0,4/1/2000 to 6/30/2000,,,,,,,,,,,,,
"Autauga County, Alabama",44509,74.87551309,594.44,-9,7/1/2001 to 6/30/2002,1,1,-9,7/1/2001 to 6/30/2002,635,354,281,,,318,,14.2668,7.9534,6.3133,,,7.1446
"Autauga County, Alabama",45207,76.04972747,594.44,-8,7/1/2002 to 6/30/2003,1,1,-8,7/1/2002 to 6/30/2003,593,367,226,,,507,,13.1174,8.1182,4.9992,,,11.2151
"Autauga County, Alabama",45762,76.98337931,594.44,-7,7/1/2003 to 6/30/2004,1,1,-7,7/1/2003 to 6/30/2004,613,401,212,,,384,,13.3954,8.7627,4.6327,,,8.3912
"Autauga County, Alabama",46948,78.97853442,594.44,-6,7/1/2004 to 6/30/2005,1,1,-6,7/1/2004 to 6/30/2005,635,396,239,,,1001,,13.5256,8.4349,5.0907,,,21.3215
"Autauga County, Alabama",47875,80.53798533,594.44,-5,7/1/2005 to 6/30/2006,1,1,-5,7/1/2005 to 6/30/2006,674,406,268,,,707,,14.0783,8.4804,5.5979,,,14.7676
"Autauga County, Alabama",49118,82.629029,594.44,-4,7/1/2006 to 6/30/2007,1,1,-4,7/1/2006 to 6/30/2007,646,441,205,,,1067,,13.152,8.9784,4.1736,,,21.7232
"Autauga County, Alabama",49835,83.83520624,594.44,-3,7/1/2007 to 6/30/2008,1,1,-3,7/1/2007 to 6/30/2008,666,440,226,,,492,,13.3641,8.8291,4.535,,,9.8726
"Autauga County, Alabama",50338,84.6813808,594.44,-2,7/1/2008 to 6/30/2009,1,1,-2,7/1/2008 to 6/30/2009,705,405,300,,,204,,14.0053,8.0456,5.9597,,,4.0526
"Autauga County, Alabama",50816,85.48549896,594.44,-1,7/1/2009 to 6/30/2010,1,1,-1,7/1/2009 to 6/30/2010,727,423,304,,,181,,14.3065,8.3241,5.9824,,,3.5619
"Baldwin County, Alabama",140416,88.3219484,1589.82,0,4/1/2000 to 6/30/2000,1,3,0,4/1/2000 to 6/30/2000,,,,,,,,,,,,,
"Baldwin County, Alabama",145017,91.21598672,1589.82,-9,7/1/2001 to 6/30/2002,1,3,-9,7/1/2001 to 6/30/2002,1890,1344,546,,,3043,,13.033,9.2679,3.7651,,,20.9837
"Baldwin County, Alabama",148177,93.20363312,1589.82,-8,7/1/2002 to 6/30/2003,1,3,-8,7/1/2002 to 6/30/2003,1753,1447,306,,,2837,,11.8304,9.7653,2.0651,,,19.146
"Baldwin County, Alabama",151798,95.48124945,1589.82,-7,7/1/2003 to 6/30/2004,1,3,-7,7/1/2003 to 6/30/2004,1796,1472,324,,,3270,,11.8315,9.6971,2.1344,,,21.5418
"Baldwin County, Alabama",156640,98.52687726,1589.82,-6,7/1/2004 to 6/30/2005,1,3,-6,7/1/2004 to 6/30/2005,1846,1553,293,,,4539,,11.785,9.9145,1.8705,,,28.9773
"Baldwin County, Alabama",162623,102.2901964,1589.82,-5,7/1/2005 to 6/30/2006,1,3,-5,7/1/2005 to 6/30/2006,2025,1533,492,,,5453,,12.4521,9.4267,3.0254,,,33.5315
"Baldwin County, Alabama",168572,106.0321294,1589.82,-4,7/1/2006 to 6/30/2007,1,3,-4,7/1/2006 to 6/30/2007,2199,1634,565,,,5348,,13.0449,9.6932,3.3517,,,31.7253
"Baldwin County, Alabama",172851,108.7236291,1589.82,-3,7/1/2007 to 6/30/2008,1,3,-3,7/1/2007 to 6/30/2008,2275,1643,632,,,3617,,13.1616,9.5053,3.6563,,,20.9255
"Baldwin County, Alabama",176268,110.872929,1589.82,-2,7/1/2008 to 6/30/2009,1,3,-2,7/1/2008 to 6/30/2009,2273,1683,590,,,2800,,12.8951,9.548,3.3472,,,15.8849
"Baldwin County, Alabama",179831,113.1140632,1589.82,-1,7/1/2009 to 6/30/2010,1,3,-1,7/1/2009 to 6/30/2010,2161,1744,417,,,3108,,12.0168,9.698,2.3188,,,17.2829
"Barbour County, Alabama",29042,32.81544841,885.01,0,4/1/2000 to 6/30/2000,1,5,0,4/1/2000 to 6/30/2000,,,,,,,,,,,,,
"Barbour County, Alabama",29221,33.01770601,885.01,-9,7/1/2001 to 6/30/2002,1,5,-9,7/1/2001 to 6/30/2002,429,323,106,,,-157,,14.6812,11.0537,3.6275,,,-5.3728
"Barbour County, Alabama",29285,33.09002158,885.01,-8,7/1/2002 to 6/30/2003,1,5,-8,7/1/2002 to 6/30/2003,377,334,43,,,-166,,12.8735,11.4052,1.4683,,,-5.6684
"Barbour County, Alabama",29501,33.33408662,885.01,-7,7/1/2003 to 6/30/2004,1,5,-7,7/1/2003 to 6/30/2004,360,296,64,,,-36,,12.203,10.0336,2.1694,,,-1.2203
